"datetime","tempmax","tempmin","humidity","precip","windspeed"
2015-01-01,10.5,-1.8,70.5,0,11.9
2015-01-02,11,-1.7,76,0,11
2015-01-03,12,-1.1,74.5,0,6.7
2015-01-04,13.5,1.2,76.8,0,15.4
2015-01-05,13.5,0.7,78.5,0,6.9
2015-01-06,17,2.7,79.3,0,13.3
2015-01-07,18.7,2.1,81.4,0,4.6
2015-01-08,17,3.7,83.3,0,11.6
2015-01-09,14,5.6,86,0,5.6
2015-01-10,17.4,7.6,85.1,0,11.1
2015-01-11,16.5,6.7,85.6,0,6.5
2015-01-12,17.1,5.8,86,0,13.4
2015-01-13,15.6,3.9,85.8,0,11.5
2015-01-14,13.3,3.5,89.5,0,12.3
2015-01-15,12.2,4.6,89.4,0.052,7.5
2015-01-16,11.9,7.2,91.6,0.206,18.9
2015-01-17,11.7,9.2,90.8,0,11.1
2015-01-18,11,8.6,93.5,0,10.4
2015-01-19,15.3,9,89.4,0,9.2
2015-01-20,14.1,5.6,86.9,0,7.3
2015-01-21,13.2,4.8,87.6,0,12.4
2015-01-22,12.9,4.7,85,0,11.1
2015-01-23,14.4,3.7,89.1,0,9.7
2015-01-24,10.9,7,90.2,0,12.6
2015-01-25,13.9,6.4,84.5,0,12.3
2015-01-26,18,5.2,79.7,0,11.5
2015-01-27,16.5,8.5,81.6,0,9.9
2015-01-28,18.8,8.1,77,0,11.4
2015-01-29,19.2,5.3,77.4,0,7.4
2015-01-30,20.3,4.3,74.7,0,12.7
2015-01-31,22.6,7.8,49.5,0,26.6
2015-02-01,19.1,4.6,76.3,0,8.5
2015-02-02,18.5,5,77.6,0,12.6
2015-02-03,19.8,7.9,79.8,0,10
2015-02-04,19,6.5,82.5,0,10.4
2015-02-05,14.3,9.9,81.7,0,14.1
2015-02-06,16.2,11.7,77,32.575,30.1
2015-02-07,18.8,14.2,85.7,1.852,33
2015-02-08,17.6,14.9,85.2,30.837,29.9
2015-02-09,18.7,9.3,73.8,1.476,25.1
2015-02-10,16.1,7.6,77.9,0,24.1
2015-02-11,18.4,4.3,76.8,0,10.8
2015-02-12,22,7.3,75.2,0,8.2
2015-02-13,21.9,6.8,76.2,0,13.9
2015-02-14,22.6,8.4,77.5,0,9.8
2015-02-15,21.9,6.7,79,0,6.5
2015-02-16,22.6,8.1,75.2,0,12.9
2015-02-17,18.3,10,84.1,0,15.6
2015-02-18,18,7.9,88.2,0,8.4
2015-02-19,15,7.4,92.5,0.026,9.1
2015-02-20,18.4,10.4,83.5,0,14.2
2015-02-21,15.4,8.8,86.9,0.049,12.5
2015-02-22,18.5,7,51.6,0,40.4
2015-02-23,17.2,6.9,28.9,0,41.2
2015-02-24,19.2,1.2,45.5,0,12.1
2015-02-25,18.3,3.2,61.8,0,9.5
2015-02-26,22.6,5.3,61.8,0,26.9
2015-02-27,19.2,6.7,72,0,27.2
2015-02-28,14.1,7.6,75.6,0,10.2
2015-03-01,18.8,4.8,64.7,0,14.7
2015-03-02,17,7.9,68.9,0.369,15.5
2015-03-03,18.7,4.6,65.8,0,21.6
2015-03-04,19.1,2.3,62.7,0,6.6
2015-03-05,20.7,4.7,60.9,0,11.5
2015-03-06,22.9,4.7,61.1,0,11.3
2015-03-07,23.6,5.4,61.1,0,7.6
2015-03-08,23.8,7.4,62.7,0,10.8
2015-03-09,23.7,6.8,69.5,0,6.9
2015-03-10,22.6,9,69.2,0,9.8
2015-03-11,18.5,12.6,75.6,4.793,15
2015-03-12,23.8,9.8,70.1,0,25.7
2015-03-13,25.5,10,67.6,0,7.5
2015-03-14,27.6,13.3,65.6,0,9.1
2015-03-15,23.5,13.4,55.4,0,24.5
2015-03-16,20.3,13,68.6,0,13.5
2015-03-17,23.3,10.8,68.5,0,12.8
2015-03-18,24.7,8,61.1,0,16.7
2015-03-19,27.1,8.6,58.7,0,10.5
2015-03-20,22.1,10,59.4,0,15.6
2015-03-21,23.1,10.5,63.1,0,17.5
2015-03-22,20.6,12.2,67,0,26.6
2015-03-23,19.3,11,67.5,0.054,18.4
2015-03-24,21.4,11,64,0,14.5
2015-03-25,26,10.9,58.1,0,15
2015-03-26,27.6,9.6,62,0,8.4
2015-03-27,27.8,11,65.1,0,21.5
2015-03-28,28.3,9.5,53.3,0,22.7
2015-03-29,28.8,7.9,53.3,0,14
2015-03-30,27.7,9.6,59.8,0.231,17.9
2015-03-31,23.7,9.4,48.9,0,24.7
2015-04-01,21.5,7,38.8,0,22.9
2015-04-02,22.1,10.3,31.6,0,28.9
2015-04-03,24.2,3.6,42.8,0,15.8
2015-04-04,22.1,6.8,53,0,21.5
2015-04-05,15.6,8.1,61.5,2.244,21.4
2015-04-06,17.7,3.5,63.3,0,17.9
2015-04-07,13.8,8.7,73.5,22.968,25
2015-04-08,16.9,4.5,70.1,0,13.8
2015-04-09,20.5,4.6,64.7,0,10.3
2015-04-10,23.3,6.1,58.8,0,13.2
2015-04-11,24.1,8.4,54.8,0,15.5
