"Year","Cause","Cali_Acres","Total_Acres","Cali_Fires","Total_Fires"
2001,"Human",202480,1748661,5159,70066
2001,"Lightning",320901,1822600,3070,14094
2002,"Human",452007,3077119,7849,62022
2002,"Lightning",58349,4097593,480,11435
2003,"Human",749431,1922249,7724,50815
2003,"Lightning",50436,2038443,1394,12776
2004,"Human",230795,964800,7458,54101
2004,"Lightning",12022,7011023,993,11384
2005,"Human",99386,1521327,6791,58430
2005,"Lightning",104867,7168062,458,8323
2006,"Human",489863,4404844,6842,80220
2006,"Lightning",198886,5468901,1357,16165
2007,"Human",1009132,3449360,8233,73446
2007,"Lightning",99008,5878691,865,12261
2008,"Human",545271,3429991,8615,70093
2008,"Lightning",878273,1862477,1574,8856
2009,"Human",354426,2072746,8089,69650
2009,"Lightning",58959,3849040,1069,9142
2010,"Human",89937,1303449,5896,64807
2010,"Lightning",29633,2119275,657,7164
2011,"Human",100478,5356771,7424,63877
2011,"Lightning",28551,3354596,559,10249
2012,"Human",259357,2500249,7502,58331
2012,"Lightning",612043,6825989,446,9443
2013,"Human",532067,1261980,9037,38349
2013,"Lightning",45608,3057566,870,9230
2014,"Human",256047,1582770,7132,55679
2014,"Lightning",298997,2012843,736,7933
2015,"Human",405752,2012461,7580,58916
2015,"Lightning",493221,8112688,1182,9235
2016,"Human",558417,3766610,7166,60932
2016,"Lightning",17496,1743385,193,6790
2017,"Human",875835,4830476,8646,63546
2017,"Lightning",392486,5195610,916,7953
2018,"Human",1728565,5640489,7750,51576
2018,"Lightning",117108,3127003,305,6507
2019,"Human",226842,1217324,7840,44115
2019,"Lightning",43002,3447038,496,6362
2020,"Human",1765504,4123523,9543,53563
2020,"Lightning",1765504,4123523,554,5387
