datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
2014-01-01,1388563200,16.6,-0.2,6.7,16.6,-0.2,6.7,0.1,66.5,0.0,0.0,0.0,,0.0,0.0,,8.2,165.2,1022.0,5.7,12.4,101.6,8.8,4.0,07:23:49,1388589829,16:55:40,1388624140,0.0,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-02,1388649600,18.3,1.7,8.2,18.3,1.7,8.1,1.2,65.8,0.0,0.0,0.0,,0.0,0.0,,9.1,345.0,1020.5,5.5,13.9,119.0,10.4,5.0,07:23:55,1388676235,16:56:30,1388710590,0.05,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-03,1388736000,18.1,1.9,8.4,18.1,1.9,8.4,2.0,67.8,0.0,0.0,0.0,,0.0,0.0,,8.1,324.7,1017.0,2.8,14.9,117.7,10.2,5.0,07:24:00,1388762640,16:57:21,1388797041,0.08,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-04,1388822400,19.8,1.5,8.3,19.8,1.5,8.1,-0.7,60.6,0.0,0.0,0.0,,0.0,0.0,,17.4,340.7,1016.7,0.4,14.1,124.0,10.7,5.0,07:24:03,1388849043,16:58:13,1388883493,0.11,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-05,1388908800,18.7,0.6,7.8,18.7,0.6,7.8,-3.3,52.8,0.0,0.0,0.0,,0.0,0.0,,5.8,354.8,1021.8,0.5,15.7,125.9,10.7,5.0,07:24:04,1388935444,16:59:06,1388969946,0.15,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-06,1388995200,15.9,1.6,7.8,15.9,1.6,7.8,-0.3,59.6,0.0,0.0,0.0,,0.0,0.0,,7.2,342.4,1023.9,12.5,15.1,56.4,4.8,3.0,07:24:02,1389021842,17:00:01,1389056401,0.18,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-07,1389081600,16.8,2.8,9.0,16.8,2.8,8.9,-1.2,52.8,0.0,0.0,0.0,,0.0,0.0,,9.7,173.9,1021.4,15.4,16.0,117.6,10.1,5.0,07:23:59,1389108239,17:00:57,1389142857,0.25,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,
2014-01-08,1389168000,13.0,2.2,7.3,13.0,2.2,6.9,4.4,82.9,0.0,0.0,0.0,,0.0,0.0,,9.4,350.4,1021.9,33.4,10.3,76.7,6.5,4.0,07:23:53,1389194633,17:01:54,1389229314,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC']",obs,
2014-01-09,1389254400,16.0,5.9,9.6,16.0,4.6,9.1,5.9,78.9,0.0,0.0,0.0,,0.0,0.0,,12.7,146.4,1022.7,27.2,13.7,110.8,9.7,5.0,07:23:45,1389281025,17:02:53,1389315773,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC']",obs,
2014-01-10,1389340800,16.8,2.0,8.1,16.8,2.0,8.1,4.2,78.8,0.0,0.0,0.0,,0.0,0.0,,7.6,330.6,1023.8,9.9,12.2,115.5,10.0,5.0,07:23:35,1389367415,17:03:52,1389402232,0.32,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC']",obs,
