datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,events
2015-01-01,1420099200,10.5,-1.8,3.5,10.5,-1.8,3.3,-1.8,70.5,0.0,0.0,0.0,,0.0,0.0,,11.9,141.1,1021.0,0.0,12.1,126.3,11.0,5.0,07:23:47,1420125827,16:55:28,1420160128,0.38,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-02,1420185600,11.0,-1.7,3.5,11.0,-1.7,3.2,-0.7,76.0,0.0,0.0,0.0,,0.0,0.0,,11.0,340.4,1022.1,3.1,10.2,124.6,10.7,5.0,07:23:54,1420212234,16:56:18,1420246578,0.42,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-03,1420272000,12.0,-1.1,4.5,12.0,-1.1,4.4,-0.1,74.5,0.0,0.0,0.0,,0.0,0.0,,6.7,20.5,1024.9,1.2,10.5,122.2,10.6,5.0,07:24:00,1420298640,16:57:08,1420333028,0.45,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-04,1420358400,13.5,1.2,5.9,13.5,1.0,5.6,1.8,76.8,0.0,0.0,0.0,,0.0,0.0,,15.4,348.6,1029.3,8.7,10.6,90.6,7.9,4.0,07:24:03,1420385043,16:58:00,1420419480,0.5,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-05,1420444800,13.5,0.7,6.5,13.5,0.7,6.5,2.7,78.5,0.0,0.0,0.0,,0.0,0.0,48.2,6.9,343.8,1028.0,7.6,9.9,111.0,9.6,5.0,07:24:04,1420471444,16:58:54,1420505934,0.52,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-06,1420531200,17.0,2.7,8.5,17.0,2.7,8.5,4.8,79.3,0.0,0.0,0.0,,0.0,0.0,,13.3,348.9,1024.7,2.6,11.2,124.5,10.7,5.0,07:24:03,1420557843,16:59:48,1420592388,0.55,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-07,1420617600,18.7,2.1,8.8,18.7,2.1,8.8,5.4,81.4,0.0,0.0,0.0,,0.0,0.0,,4.6,4.5,1022.0,7.0,9.7,121.8,10.5,5.0,07:24:00,1420644240,17:00:44,1420678844,0.59,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-08,1420704000,17.0,3.7,9.2,17.0,3.7,9.2,6.3,83.3,0.0,0.0,0.0,,0.0,0.0,,11.6,326.0,1018.2,11.9,9.0,105.7,9.2,5.0,07:23:55,1420730635,17:01:41,1420765301,0.62,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-09,1420790400,14.0,5.6,10.0,14.0,5.6,10.0,7.7,86.0,0.0,0.0,0.0,,0.0,0.0,,5.6,27.4,1016.0,36.5,8.8,52.7,4.4,2.0,07:23:47,1420817027,17:02:39,1420851759,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
2015-01-10,1420876800,17.4,7.6,11.1,17.4,7.6,11.1,8.5,85.1,0.0,0.0,0.0,,0.0,0.0,,11.1,326.4,1015.6,20.3,5.0,96.6,8.3,4.0,07:23:38,1420903418,17:03:38,1420938218,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['KSMF', '72483023232', '72483993225', '72483323206', 'KSAC', '72057600174']",obs,,
